Rio Grande do Norte | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2021],Total de despesas brutas empenhadas - R$ [2021],PIB per capita - R$ [2021],
Serrinha,2413508,serrinhense,JOSE ANTONIO DE MEDEIROS CLEMENTE,193.351,6436,33.29,99,0.592,-,36975262.74,32529548.14,11732.81,
Serrinha dos Pintos,2413557,serriense dos pintos,BARBARA TEIXEIRA QUEIROZ,122.375,4659,38.07,96.1,0.598,-,31329088.16,28067059.97,10303.67,
Severiano Melo,2413607,severianense,JACINTO LOPES DE CARVALHO,157.850,5487,34.76,97.1,0.604,33.33,33960305.74,31953078.58,36201.68,
S&iacute;tio Novo,2413706,s&iacute;tio-novense,ANDREZZA BRASIL SOUTO,213.456,4654,21.80,99.4,0.572,22.73,34474182.51,31859685.68,9604.36,
Taboleiro Grande,2413805,taboleirense,MARIA TARCIA RIBEIRO DA SILVA,124.093,2338,18.84,95.8,0.612,-,26360220.04,24145376.67,12460.84,
Taipu,2413904,taipuense,ARIOSVALDO BANDEIRA JUNIOR,352.818,11422,32.37,95.5,0.569,7.58,49164726.19,43202988.53,12603.48,
Tangar&aacute;,2414001,tangarense,JOSE AIRTON BEZERRA,339.484,13281,39.12,98.1,0.608,17.75,64017948.46,59478344.02,12605.26,
Tenente Ananias,2414100,tenente-ananiense,LARISSA LISIANE DA CUNHA ROCHA JACOME,223.671,10262,45.88,95.1,0.592,9.62,57244519.99,56963770.36,10398.97,
Tenente Laurentino Cruz,2414159,tenente-laurentinense,FRANCISCO MACEDO DA SILVA,68.556,5891,85.93,98.1,0.623,12.82,38192390.68,34744950.90,17631.19,
Tibau do Sul,2414209,tibauense,VALDENICIO JOSE DA COSTA,102.680,16929,164.87,95.7,0.645,15.15,95771862.10,87092180.61,28299.48,
Timba&uacute;ba dos Batistas,2414308,timbaubense,IVANILDO ARAUJO DE ALBUQUERQUE FILHO,135.456,2348,17.33,99.3,0.640,-,28446912.15,23506852.45,17972.11,
Touros,2414407,tourense,PEDRO FERREIRA DE FARIAS FILHO,753.961,33035,43.82,99.2,0.572,13.25,153918166.58,134039937.60,24167.89,
Triunfo Potiguar,2414456,triunfense potiguar,JOANA DARC ESTEVAM DA FONSECA SILVA,268.725,3376,12.56,97.8,0.602,-,28493640.34,27266505.60,14344.56,
Umarizal,2414506,umarizalense,RAIMUNDO NONATO DIAS PINHEIRO,213.584,10078,47.19,97.3,0.618,23.26,42726527.06,39303094.66,14421.3,
Upanema,2414605,upanemense,RENAN MENDON&Ccedil;A FERNANDES,873.140,13577,15.55,98,0.596,-,79464464.91,71059815.04,14337.24,
V&aacute;rzea,2414704,varzeano,PEDRO SALES BELO DA SILVA,72.684,5233,72.00,97.8,0.626,14.08,29513232.93,25239968.45,10229.06,
Venha-Ver,2414753,venha-verense,CLEITOM JACOME DA COSTA,71.621,3014,42.08,98.8,0.555,-,31752580.76,25987792.76,10208.67,
Vera Cruz,2414803,vera-cruzense,MARCOS  ANTONIO CABRAL,84.127,10735,127.60,97.8,0.587,-,65611931.24,64288808.87,10436.42,
Vi&ccedil;osa,2414902,vi&ccedil;osense,VICTOR RAMON ALVES,37.905,1822,48.07,99.2,0.592,-,25425302.99,22682926.02,13425.15,
Vila Flor,2415008,vila-florense,THUANNE KARLA CARVALHO DE SOUZA,47.656,3174,66.60,99,0.576,-,28522113.66,24331037.09,13802.94,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>População residente: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
