Rio Grande do Norte | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2021],Total de despesas brutas empenhadas - R$ [2021],PIB per capita - R$ [2021],
Currais Novos,2403103,currais-novense,ODON OLIVEIRA DE SOUZA J&Uacute;NIOR,864.349,41313,47.80,97.8,0.691,8.95,158226108.47,144096286.90,17863.07,
Doutor Severiano,2403202,severianense,FRANCISCO NERI DE OLIVEIRA,113.737,7044,61.93,97.6,0.621,11.36,52171014.63,42095351.89,11114.41,
Parnamirim,2403251,parnamirinense,ROSANO TAVEIRA DA CUNHA,124.006,252716,2037.93,97.9,0.766,9.72,906843634.21,831224148.70,25121.67,
Encanto,2403301,encantense,ALBERONE NERI DE OLIVEIRA LIMA,125.749,6016,47.84,97.5,0.629,-,36541675.41,32135926.77,10934.35,
Equador,2403400,equadoense,CLETSON RIVALDO DE OLIVEIRA,264.985,5360,20.23,98.9,0.623,-,35307022.47,31174373.56,13518.66,
Esp&iacute;rito Santo,2403509,esp&iacute;rito-santense,FERNANDO LUIZ TEIXEIRA DE CARVALHO,135.838,10620,78.18,95.5,0.558,11.36,47932461.69,46800971.17,9326.78,
Extremoz,2403608,extremozense,JUSSARA SALES DE SOUZA,140.639,61635,438.25,96.6,0.660,14.01,199939978.99,193621710.60,19480.39,
Felipe Guerra,2403707,felipe-guerrense,SALOMAO GOMES DE OLIVEIRA,268.591,5944,22.13,99.2,0.636,-,57596787.22,52263214.16,28927.71,
Fernando Pedroza,2403756,fernando-pedrozense,SANDRA JAQUELINE JOTA RIBEIRO,322.628,2938,9.11,95.3,0.597,-,33118827.32,28926237.35,12680.91,
Flor&acirc;nia,2403806,floraniense,SAINT CLAY ALCANTARA SILVA DE MEDEIROS,507.892,10196,20.08,97.7,0.642,9.71,40155472.65,36612404.43,12330.46,
Francisco Dantas,2403905,francisco-dantense,JOS&Eacute; ADOLFO DA SILVEIRA NETO,181.558,2700,14.87,97.8,0.606,68.97,24363351.84,23030486.51,11695.31,
Frutuoso Gomes,2404002,frutuoso-gomense,JANDIARA SINARA J&Aacute;COME CAVALCANTE,63.279,4122,65.14,98.3,0.597,-,26857711.09,23517175.13,11186.02,
Galinhos,2404101,galinhense,FRANCINALDO SILVA DA CRUZ,340.769,2104,6.17,99.5,0.564,34.48,45051203.93,41538207.38,56016.95,
